"PVWatts: Hourly PV Performance Data"
"Requested Location:","67-1125 Mamalahoa Hwy, Waimea, HI 96743, United States"
"Location:","Lat, Lon: 20.01, -155.66"
"Lat (deg N):","20.01"
"Long (deg W):","155.66"
"Elev (m):","851.71997070312"
"DC System Size (kW):","700"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.260"
"Capacity Factor (%)","16.4"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"10","7","2","0","0","21","0","0","21","0","0"
"10","7","3","0","0","21","0","0","21","0","0"
"10","7","4","0","0","21","0","0","21","0","0"
"10","7","5","0","0","21","1","0","21","0","0"
"10","7","6","111","17","21","1","34.445","19.882","17055.961","13170.182"
"10","7","7","570","66","23","1","270.102","29.703","142682.234","136004.141"
"10","7","8","748","87","24","2","528.354","37.128","291435.75","280367.281"
"10","7","9","831","101","25","1","748.744","47.886","399401.5","384410.406"
"10","7","10","875","110","26","1","914.319","54.196","473966.188","455904.531"
"10","7","11","883","122","26","1","1003.08","57.157","512066.438","492321.813"
"10","7","12","878","128","27","1","1014.459","58.696","513490.469","493681.438"
"10","7","13","851","131","26","1","943.207","55.934","484575.031","466052.5"
"10","7","14","246","350","26","1","561.906","45.26","305322.563","293784.25"
"10","7","15","84","251","25","2","305.093","33.273","175720.297","168168.641"
"10","7","16","44","141","24","2","158.57","27.586","93244.047","87764.852"
"10","7","17","0","39","23","1","37.434","22.883","22738.111","18744.133"
"10","7","18","0","0","22","1","0","22","0","0"
"10","7","19","0","0","22","1","0","22","0","0"
"10","7","20","0","0","22","1","0","22","0","0"
"10","7","21","0","0","22","1","0","22","0","0"
"10","7","22","0","0","22","0","0","22","0","0"
"10","7","23","0","0","22","0","0","22","0","0"
"10","8","0","0","0","22","0","0","22","0","0"
"10","8","1","0","0","22","0","0","22","0","0"
"10","8","2","0","0","22","0","0","22","0","0"
"10","8","3","0","0","22","0","0","22","0","0"
"10","8","4","0","0","21","0","0","21","0","0"
"10","8","5","0","0","21","1","0","21","0","0"
"10","8","6","103","17","22","1","33.674","20.896","16789.404","12908.659"
"10","8","7","551","67","23","1","265.336","29.551","140560.406","133936.438"
"10","8","8","734","89","24","1","523.047","39.397","285340.031","274474.594"
"10","8","9","820","103","25","1","746.467","47.803","398392.094","383440.563"
"10","8","10","41","349","26","1","388.335","39.474","217646.5","208902.781"
"10","8","11","20","317","26","1","328.585","36.147","187269.5","179398.781"
"10","8","12","70","430","26","2","505.915","38.718","284657.969","273815.094"
"10","8","13","23","316","25","2","329.605","33.734","190093.078","182143.297"
"10","8","14","2","163","25","2","158.113","28.671","93451.055","87967.109"
"10","8","15","0","129","24","2","123.482","26.162","73861.461","68816.883"
"10","8","16","0","97","23","2","92.94","24.198","56108.234","51444.223"
"10","8","17","0","14","23","2","13.251","21.926","8084.914","4366.467"
"10","8","18","0","0","22","2","0","22","0","0"
"10","8","19","0","0","22","1","0","22","0","0"
"10","8","20","0","0","22","1","0","22","0","0"
"10","8","21","0","0","22","1","0","22","0","0"
"10","8","22","0","0","22","1","0","22","0","0"
"10","8","23","0","0","22","1","0","22","0","0"
"10","9","0","0","0","22","1","0","22","0","0"
"10","9","1","0","0","22","1","0","22","0","0"
"10","9","2","0","0","22","1","0","22","0","0"
"10","9","3","0","0","22","1","0","22","0","0"
"10","9","4","0","0","22","1","0","22","0","0"
"10","9","5","0","0","22","2","0","22","0","0"
"10","9","6","0","11","22","2","10.41","20.499","6393.63","2706.251"
"10","9","7","606","57","22","3","274.274","27.056","146033.156","139269.109"
"10","9","8","772","77","23","3","532.554","34.756","297072.188","285814.281"
"10","9","9","854","89","24","3","754.174","41.41","415975.875","400327.781"
"10","9","10","897","97","24","3","920.451","45.636","499381.75","480206"
"10","9","11","838","152","25","3","997.067","48.665","532929.75","512230.875"
"10","9","12","855","144","25","4","1007.053","46.946","543187.063","522010.594"
"10","9","13","850","134","25","4","943.905","45.675","512280.156","492525.875"
"10","9","14","774","145","25","4","796.049","42.515","437889.156","421350.031"
"10","9","15","709","122","24","4","593.237","37.019","331255.094","318811.969"
"10","9","16","579","90","23","3","345.625","31.191","189188.844","181264.422"
"10","9","17","259","42","22","3","92.496","23.572","46041.309","41585.66"
"10","9","18","0","0","22","2","0","22","0","0"
"10","9","19","0","0","21","2","0","21","0","0"
"10","9","20","0","0","21","2","0","21","0","0"
"10","9","21","0","0","21","2","0","21","0","0"
"10","9","22","0","0","21","2","0","21","0","0"
"10","9","23","0","0","21","2","0","21","0","0"
"10","10","0","0","0","21","2","0","21","0","0"
"10","10","1","0","0","20","2","0","20","0","0"
"10","10","2","0","0","20","2","0","20","0","0"
"10","10","3","0","0","20","2","0","20","0","0"
"10","10","4","0","0","20","2","0","20","0","0"
"10","10","5","0","0","20","2","0","20","0","0"
"10","10","6","181","16","21","2","44.831","20.729","20683.211","16728.561"
"10","10","7","648","53","22","2","284.909","28.069","150480.969","143601.891"
"10","10","8","820","67","22","3","547.785","34.139","306230.438","294661.063"
